epsilon,auc_mean,auc_std
0.01,0.5075892857142857,0.007745246237900664
0.05,0.5342075892857143,0.11954371527390124
0.1,0.5373883928571428,0.19175214737051932
0.2,0.4157366071428572,0.21575265765065954
0.5,0.6106584821428572,0.1716957281234552
1.0,0.6645089285714285,0.15069605423275076
2.0,0.7602120535714285,0.11945068281929783
5.0,0.9128348214285713,0.03317924749186268
10.0,0.9456473214285713,0.013281249999999982
50.0,0.9294084821428571,0.007116869927977273
inf,0.9213169642857141,1.1102230246251565e-16
