Modelo,AUC-ROC Global,F1 Global,Recall Global,AUC Mujeres,F1 Mujeres,AUC Hombres,F1 Hombres
Baseline (LogReg),0.9498,0.8519,0.8214,1.0000,0.8000,0.9075,0.8571
SVM_rbf (mejor GS),0.9609,0.8727,0.8571,1.0000,1.0000,0.9350,0.8571
